age,gender,department,jobrole,monthlyincome,yearsatcompany,experience_group,overtime,attrition,attrition_flag
49,Female,Research & Development,Healthcare Representative,13966,15,10+ years,Yes,No,0
36,Female,Research & Development,Manufacturing Director,4374,3,3-5 years,No,No,0
36,Male,Research & Development,Healthcare Representative,6842,5,3-5 years,No,No,0
54,Female,Research & Development,Manager,17426,10,6-10 years,No,No,0
43,Male,Research & Development,Research Director,17603,14,10+ years,No,No,0
35,Male,Sales,Sales Executive,4581,11,10+ years,Yes,Yes,1
38,Male,Research & Development,Research Scientist,4735,13,10+ years,No,No,0
29,Male,Sales,Sales Executive,4187,10,6-10 years,Yes,No,0
33,Male,Sales,Sales Executive,5505,6,6-10 years,No,No,0
32,Male,Research & Development,Research Scientist,5470,9,6-10 years,No,No,0
31,Female,Sales,Sales Executive,5476,10,6-10 years,No,No,0
49,Female,Research & Development,Laboratory Technician,2587,2,0-2 years,Yes,No,0
38,Female,Research & Development,Laboratory Technician,2440,4,3-5 years,No,No,0
47,Female,Sales,Manager,15972,3,3-5 years,No,No,0
49,Male,Research & Development,Manager,15379,8,6-10 years,No,No,0
41,Male,Sales,Sales Executive,7082,2,0-2 years,Yes,No,0
20,Male,Sales,Sales Representative,2728,2,0-2 years,No,No,0
33,Female,Sales,Sales Executive,5368,6,6-10 years,Yes,No,0
36,Male,Research & Development,Healthcare Representative,5347,3,3-5 years,No,No,0
44,Female,Human Resources,Human Resources,3195,2,0-2 years,Yes,No,0
23,Male,Research & Development,Laboratory Technician,3989,5,3-5 years,Yes,Yes,1
38,Female,Research & Development,Laboratory Technician,3306,0,,No,No,0
53,Male,Research & Development,Healthcare Representative,7005,4,3-5 years,No,No,0
48,Female,Sales,Sales Representative,2655,9,6-10 years,Yes,Yes,1
32,Male,Research & Development,Laboratory Technician,1393,1,0-2 years,No,Yes,1
26,Male,Research & Development,Laboratory Technician,2570,7,6-10 years,No,No,0
55,Male,Research & Development,Research Scientist,3537,4,3-5 years,No,No,0
34,Male,Research & Development,Laboratory Technician,3986,15,10+ years,No,No,0
60,Male,Research & Development,Healthcare Representative,10883,1,0-2 years,No,No,0
33,Male,Research & Development,Laboratory Technician,2028,14,10+ years,No,No,0
37,Male,Sales,Sales Executive,9525,6,6-10 years,No,No,0
34,Female,Research & Development,Research Scientist,2929,10,6-10 years,No,No,0
23,Male,Sales,Sales Representative,2275,3,3-5 years,Yes,Yes,1
44,Female,Research & Development,Healthcare Representative,7879,8,6-10 years,Yes,No,0
35,Male,Research & Development,Research Scientist,4930,5,3-5 years,Yes,No,0
43,Male,Sales,Sales Executive,7847,10,6-10 years,Yes,No,0
24,Male,Research & Development,Research Scientist,4401,5,3-5 years,No,No,0
41,Male,Sales,Sales Executive,9241,10,6-10 years,No,No,0
29,Female,Research & Development,Laboratory Technician,2974,5,3-5 years,No,No,0
36,Female,Sales,Sales Representative,4502,13,10+ years,No,No,0
45,Male,Research & Development,Healthcare Representative,10748,23,10+ years,No,No,0
24,Male,Human Resources,Human Resources,1555,1,0-2 years,No,Yes,1
47,Male,Sales,Sales Executive,12936,23,10+ years,No,Yes,1
26,Male,Research & Development,Laboratory Technician,2305,3,3-5 years,No,No,0
45,Female,Research & Development,Research Director,16704,21,10+ years,No,No,0
32,Male,Research & Development,Research Scientist,3433,5,3-5 years,No,No,0
31,Male,Research & Development,Laboratory Technician,3477,5,3-5 years,No,No,0
41,Male,Human Resources,Human Resources,6430,3,3-5 years,No,No,0
40,Female,Research & Development,Manufacturing Director,6516,1,0-2 years,Yes,No,0
24,Male,Research & Development,Laboratory Technician,3907,6,6-10 years,No,No,0
46,Male,Research & Development,Healthcare Representative,5562,10,6-10 years,No,No,0
35,Male,Research & Development,Manufacturing Director,6883,7,6-10 years,No,No,0
30,Male,Research & Development,Research Scientist,2862,10,6-10 years,No,No,0
47,Male,Sales,Sales Executive,4978,1,0-2 years,No,No,0
46,Male,Sales,Sales Executive,10368,10,6-10 years,Yes,No,0
36,Male,Sales,Sales Executive,6134,2,0-2 years,Yes,Yes,1
32,Male,Sales,Sales Executive,6735,0,,No,Yes,1
23,Female,Research & Development,Laboratory Technician,3295,3,3-5 years,No,No,0
31,Female,Research & Development,Manufacturing Director,5238,5,3-5 years,No,No,0
39,Male,Research & Development,Laboratory Technician,6472,9,6-10 years,Yes,No,0
32,Male,Sales,Sales Executive,9610,4,3-5 years,No,No,0
40,Male,Sales,Manager,19833,21,10+ years,No,No,0
45,Female,Human Resources,Human Resources,9756,5,3-5 years,No,No,0
30,Female,Research & Development,Research Scientist,4968,9,6-10 years,No,No,0
24,Male,Human Resources,Human Resources,2145,2,0-2 years,No,No,0
30,Female,Human Resources,Human Resources,2180,4,3-5 years,No,Yes,1
31,Male,Sales,Sales Executive,8346,5,3-5 years,No,No,0
27,Female,Research & Development,Research Scientist,3445,6,6-10 years,No,No,0
29,Female,Sales,Sales Representative,2760,2,0-2 years,No,Yes,1
29,Male,Research & Development,Healthcare Representative,6294,3,3-5 years,Yes,No,0
30,Male,Sales,Sales Executive,7140,7,6-10 years,No,No,0
34,Male,Research & Development,Research Scientist,2932,5,3-5 years,Yes,No,0
33,Female,Sales,Sales Executive,5147,11,10+ years,No,No,0
49,Female,Sales,Sales Executive,4507,5,3-5 years,No,No,0
33,Female,Sales,Sales Executive,8564,0,,Yes,Yes,1
38,Female,Research & Development,Laboratory Technician,2468,6,6-10 years,No,No,0
31,Male,Sales,Sales Executive,8161,1,0-2 years,No,Yes,1
29,Female,Research & Development,Research Scientist,2109,1,0-2 years,No,No,0
30,Male,Research & Development,Healthcare Representative,5294,7,6-10 years,No,No,0
32,Male,Research & Development,Research Scientist,2718,7,6-10 years,No,No,0
38,Male,Research & Development,Healthcare Representative,5811,1,0-2 years,Yes,No,0
43,Male,Research & Development,Research Scientist,2437,1,0-2 years,Yes,Yes,1
42,Male,Research & Development,Laboratory Technician,2766,5,3-5 years,No,No,0
55,Male,Research & Development,Research Director,19038,1,0-2 years,No,No,0
33,Male,Research & Development,Research Scientist,3055,9,6-10 years,No,No,0
41,Male,Research & Development,Laboratory Technician,2289,5,3-5 years,No,No,0
34,Male,Sales,Sales Executive,4001,15,10+ years,Yes,No,0
53,Female,Research & Development,Manufacturing Director,12965,3,3-5 years,Yes,No,0
43,Male,Human Resources,Human Resources,3539,9,6-10 years,No,No,0
34,Female,Sales,Sales Executive,6029,2,0-2 years,No,No,0
21,Male,Sales,Sales Representative,2679,1,0-2 years,No,Yes,1
38,Female,Research & Development,Laboratory Technician,3702,5,3-5 years,No,No,0
22,Female,Research & Development,Laboratory Technician,2398,1,0-2 years,Yes,Yes,1
31,Female,Sales,Sales Executive,5468,12,10+ years,No,No,0
51,Female,Research & Development,Manager,13116,2,0-2 years,No,No,0
37,Male,Sales,Sales Executive,4189,5,3-5 years,No,No,0
46,Male,Research & Development,Research Director,19328,2,0-2 years,Yes,No,0
36,Male,Research & Development,Healthcare Representative,8321,12,10+ years,Yes,No,0
44,Male,Research & Development,Research Scientist,2342,5,3-5 years,Yes,Yes,1
37,Male,Human Resources,Human Resources,4071,10,6-10 years,No,No,0
35,Male,Sales,Sales Executive,5813,10,6-10 years,Yes,Yes,1
33,Male,Research & Development,Research Scientist,3143,10,6-10 years,No,No,0
28,Male,Research & Development,Research Scientist,2044,5,3-5 years,No,No,0
39,Male,Research & Development,Research Director,13464,4,3-5 years,No,No,0
46,Male,Sales,Sales Executive,7991,2,0-2 years,No,No,0
40,Female,Research & Development,Laboratory Technician,3377,4,3-5 years,No,No,0
42,Male,Research & Development,Healthcare Representative,5538,0,,No,No,0
35,Male,Research & Development,Manufacturing Director,5762,7,6-10 years,No,No,0
38,Male,Human Resources,Human Resources,2592,11,10+ years,No,No,0
34,Male,Research & Development,Laboratory Technician,5346,7,6-10 years,No,Yes,1
37,Male,Research & Development,Manufacturing Director,4213,10,6-10 years,No,Yes,1
39,Male,Sales,Sales Executive,4127,2,0-2 years,No,No,0
43,Male,Research & Development,Research Scientist,2438,3,3-5 years,No,No,0
41,Male,Research & Development,Healthcare Representative,6870,3,3-5 years,No,No,0
41,Female,Sales,Sales Executive,10447,22,10+ years,Yes,No,0
30,Female,Research & Development,Manufacturing Director,9667,7,6-10 years,No,No,0
26,Female,Human Resources,Human Resources,2148,5,3-5 years,Yes,Yes,1
46,Female,Research & Development,Healthcare Representative,8926,9,6-10 years,No,Yes,1
40,Female,Research & Development,Healthcare Representative,6513,5,3-5 years,No,No,0
34,Male,Sales,Sales Executive,6799,10,6-10 years,No,No,0
58,Male,Sales,Manager,16291,16,10+ years,No,No,0
35,Male,Research & Development,Laboratory Technician,2705,5,3-5 years,No,No,0
47,Female,Research & Development,Manufacturing Director,10333,22,10+ years,Yes,No,0
40,Female,Research & Development,Healthcare Representative,4448,7,6-10 years,No,No,0
54,Female,Research & Development,Research Scientist,6854,7,6-10 years,No,No,0
31,Female,Sales,Sales Executive,9637,3,3-5 years,No,No,0
28,Female,Research & Development,Research Scientist,3591,3,3-5 years,No,No,0
38,Female,Sales,Sales Representative,5405,4,3-5 years,Yes,No,0
26,Male,Sales,Sales Executive,4684,5,3-5 years,No,No,0
58,Male,Research & Development,Research Director,15787,2,0-2 years,Yes,No,0
18,Female,Research & Development,Research Scientist,1514,0,,No,No,0
31,Male,Human Resources,Human Resources,2956,1,0-2 years,No,Yes,1
29,Male,Human Resources,Human Resources,2335,2,0-2 years,Yes,Yes,1
45,Female,Sales,Sales Executive,5154,8,6-10 years,No,No,0
36,Female,Research & Development,Research Scientist,6962,1,0-2 years,Yes,No,0
43,Male,Sales,Sales Executive,5675,7,6-10 years,No,No,0
27,Female,Research & Development,Laboratory Technician,2379,5,3-5 years,Yes,No,0
29,Male,Research & Development,Laboratory Technician,3812,11,10+ years,No,No,0
32,Male,Sales,Sales Executive,4648,0,,No,No,0
42,Male,Research & Development,Research Scientist,2936,6,6-10 years,No,No,0
47,Female,Research & Development,Laboratory Technician,2105,2,0-2 years,No,No,0
46,Male,Research & Development,Manufacturing Director,8578,9,6-10 years,No,No,0
28,Male,Human Resources,Human Resources,2706,3,3-5 years,No,No,0
29,Male,Research & Development,Healthcare Representative,6384,7,6-10 years,No,No,0
42,Male,Research & Development,Laboratory Technician,3968,0,,No,No,0
32,Male,Sales,Sales Executive,9907,2,0-2 years,Yes,Yes,1
46,Female,Sales,Sales Executive,13225,19,10+ years,No,No,0
27,Female,Sales,Sales Representative,3540,9,6-10 years,No,No,0
29,Male,Human Resources,Human Resources,2804,1,0-2 years,No,No,0
43,Female,Research & Development,Manager,19392,16,10+ years,No,No,0
48,Male,Research & Development,Research Director,19665,22,10+ years,No,No,0
29,Male,Research & Development,Research Scientist,2439,1,0-2 years,Yes,Yes,1
46,Female,Sales,Sales Executive,7314,8,6-10 years,No,Yes,1
27,Female,Research & Development,Research Scientist,4774,7,6-10 years,No,No,0
39,Male,Research & Development,Research Scientist,3902,2,0-2 years,No,No,0
55,Male,Research & Development,Research Scientist,2662,5,3-5 years,No,No,0
28,Female,Sales,Sales Representative,2856,1,0-2 years,No,No,0
30,Male,Sales,Sales Representative,1081,1,0-2 years,No,Yes,1
22,Male,Research & Development,Research Scientist,2472,1,0-2 years,Yes,Yes,1
36,Female,Sales,Sales Executive,5673,10,6-10 years,Yes,No,0
31,Male,Research & Development,Laboratory Technician,4197,10,6-10 years,No,No,0
34,Male,Sales,Sales Executive,9713,5,3-5 years,Yes,No,0
29,Male,Research & Development,Laboratory Technician,2062,3,3-5 years,No,No,0
37,Male,Research & Development,Research Scientist,4284,5,3-5 years,Yes,No,0
35,Female,Research & Development,Manufacturing Director,4788,3,3-5 years,Yes,No,0
45,Female,Research & Development,Manufacturing Director,5906,9,6-10 years,No,No,0
36,Male,Human Resources,Human Resources,3886,10,6-10 years,No,No,0
40,Male,Research & Development,Manager,16823,19,10+ years,No,No,0
26,Female,Research & Development,Research Scientist,2933,1,0-2 years,Yes,No,0
27,Female,Sales,Sales Executive,6500,8,6-10 years,No,No,0
48,Female,Research & Development,Manager,17174,22,10+ years,No,No,0
44,Male,Research & Development,Healthcare Representative,5033,2,0-2 years,No,No,0
34,Male,Research & Development,Research Scientist,2307,5,3-5 years,Yes,Yes,1
56,Male,Research & Development,Laboratory Technician,2587,4,3-5 years,No,Yes,1
36,Male,Sales,Sales Executive,5507,4,3-5 years,No,No,0
41,Female,Sales,Sales Executive,4393,5,3-5 years,No,No,0
42,Male,Research & Development,Research Director,13348,13,10+ years,No,No,0
31,Female,Sales,Sales Executive,6583,5,3-5 years,Yes,No,0
34,Female,Sales,Sales Executive,8103,4,3-5 years,Yes,No,0
31,Female,Research & Development,Laboratory Technician,3978,2,0-2 years,No,No,0
26,Male,Research & Development,Laboratory Technician,2544,7,6-10 years,No,No,0
45,Male,Research & Development,Healthcare Representative,5399,4,3-5 years,No,No,0
33,Male,Sales,Sales Executive,5487,10,6-10 years,No,No,0
28,Male,Sales,Sales Executive,6834,7,6-10 years,Yes,No,0
29,Male,Sales,Sales Representative,1091,1,0-2 years,No,Yes,1
39,Female,Sales,Sales Executive,5736,3,3-5 years,No,No,0
27,Male,Research & Development,Research Scientist,2226,5,3-5 years,No,No,0
34,Male,Research & Development,Research Scientist,5747,15,10+ years,Yes,No,0
28,Female,Sales,Sales Executive,9854,2,0-2 years,Yes,Yes,1
47,Male,Research & Development,Research Scientist,5467,8,6-10 years,No,No,0
56,Female,Sales,Sales Executive,5380,0,,No,No,0
39,Male,Research & Development,Manufacturing Director,5151,10,6-10 years,No,No,0
38,Female,Research & Development,Research Scientist,2133,20,10+ years,Yes,No,0
58,Female,Sales,Manager,17875,1,0-2 years,Yes,No,0
32,Female,Research & Development,Research Scientist,2432,4,3-5 years,Yes,Yes,1
38,Male,Research & Development,Research Scientist,4771,5,3-5 years,No,No,0
49,Male,Research & Development,Research Director,19161,5,3-5 years,No,No,0
42,Male,Sales,Sales Executive,5087,0,,Yes,No,0
27,Female,Human Resources,Human Resources,2863,1,0-2 years,No,Yes,1
35,Male,Sales,Sales Executive,5561,5,3-5 years,No,No,0
28,Male,Research & Development,Research Scientist,2144,5,3-5 years,No,No,0
31,Male,Research & Development,Research Scientist,3065,4,3-5 years,Yes,No,0
36,Male,Research & Development,Laboratory Technician,2810,5,3-5 years,No,No,0
34,Male,Sales,Sales Executive,9888,14,10+ years,No,No,0
34,Male,Sales,Sales Executive,8628,8,6-10 years,No,No,0
26,Male,Research & Development,Laboratory Technician,2867,7,6-10 years,No,No,0
29,Male,Research & Development,Healthcare Representative,5373,5,3-5 years,No,No,0
32,Female,Research & Development,Healthcare Representative,6667,5,3-5 years,No,No,0
31,Male,Research & Development,Research Scientist,5003,10,6-10 years,No,No,0
28,Male,Research & Development,Laboratory Technician,2367,4,3-5 years,No,Yes,1
38,Male,Sales,Sales Representative,2858,1,0-2 years,No,No,0
35,Female,Sales,Sales Executive,5204,10,6-10 years,Yes,No,0
27,Male,Sales,Sales Executive,4105,7,6-10 years,No,No,0
32,Male,Research & Development,Manufacturing Director,9679,1,0-2 years,No,No,0
31,Male,Sales,Sales Executive,5617,10,6-10 years,Yes,Yes,1
53,Male,Sales,Sales Executive,10448,2,0-2 years,Yes,Yes,1
54,Female,Research & Development,Research Scientist,2897,4,3-5 years,No,No,0
33,Male,Research & Development,Healthcare Representative,5968,9,6-10 years,No,No,0
43,Male,Research & Development,Healthcare Representative,7510,10,6-10 years,No,No,0
38,Male,Human Resources,Human Resources,2991,6,6-10 years,Yes,No,0
55,Male,Human Resources,Manager,19636,10,6-10 years,Yes,No,0
31,Female,Research & Development,Laboratory Technician,1129,1,0-2 years,Yes,No,0
39,Male,Sales,Sales Executive,13341,20,10+ years,No,No,0
42,Male,Research & Development,Research Scientist,4332,20,10+ years,No,No,0
31,Female,Research & Development,Research Director,11031,11,10+ years,No,No,0
54,Female,Research & Development,Manufacturing Director,4440,5,3-5 years,Yes,No,0
24,Male,Research & Development,Healthcare Representative,4617,4,3-5 years,No,No,0
23,Male,Research & Development,Laboratory Technician,2647,5,3-5 years,No,No,0
40,Female,Research & Development,Laboratory Technician,6323,10,6-10 years,No,No,0
40,Female,Sales,Sales Executive,5677,11,10+ years,No,No,0
25,Female,Human Resources,Human Resources,2187,2,0-2 years,No,No,0
30,Male,Research & Development,Laboratory Technician,3748,12,10+ years,No,No,0
25,Male,Research & Development,Laboratory Technician,3977,2,0-2 years,Yes,No,0
47,Male,Research & Development,Healthcare Representative,8633,17,10+ years,No,No,0
33,Male,Research & Development,Laboratory Technician,2008,1,0-2 years,No,No,0
38,Male,Sales,Sales Executive,4440,15,10+ years,No,No,0
31,Male,Sales,Sales Representative,3067,2,0-2 years,No,No,0
38,Male,Research & Development,Manufacturing Director,5321,8,6-10 years,No,No,0
42,Male,Research & Development,Research Scientist,5410,4,3-5 years,Yes,No,0
41,Male,Research & Development,Research Scientist,2782,5,3-5 years,No,No,0
47,Female,Research & Development,Research Director,11957,13,10+ years,No,No,0
35,Male,Research & Development,Laboratory Technician,2660,2,0-2 years,Yes,No,0
22,Male,Research & Development,Research Scientist,3375,3,3-5 years,No,No,0
35,Male,Research & Development,Research Scientist,5098,10,6-10 years,No,No,0
33,Female,Research & Development,Healthcare Representative,4878,9,6-10 years,Yes,No,0
32,Female,Research & Development,Laboratory Technician,2837,6,6-10 years,No,No,0
40,Male,Research & Development,Laboratory Technician,2406,1,0-2 years,No,No,0
32,Male,Sales,Sales Representative,2269,2,0-2 years,No,No,0
39,Male,Research & Development,Research Scientist,4108,7,6-10 years,No,No,0
38,Female,Research & Development,Research Director,13206,18,10+ years,No,No,0
32,Female,Sales,Sales Executive,10422,14,10+ years,No,No,0
37,Female,Research & Development,Research Director,13744,16,10+ years,Yes,No,0
25,Female,Sales,Sales Executive,4907,5,3-5 years,Yes,No,0
52,Male,Sales,Sales Representative,3482,9,6-10 years,No,No,0
44,Male,Research & Development,Research Scientist,2436,4,3-5 years,Yes,No,0
21,Male,Sales,Sales Representative,2380,2,0-2 years,Yes,No,0
39,Male,Research & Development,Manager,19431,6,6-10 years,No,No,0
23,Male,Sales,Sales Representative,1790,1,0-2 years,No,Yes,1
36,Female,Sales,Sales Executive,7644,9,6-10 years,No,No,0
36,Female,Research & Development,Manufacturing Director,5131,4,3-5 years,No,No,0
56,Male,Research & Development,Healthcare Representative,6306,13,10+ years,No,No,0
29,Male,Research & Development,Research Scientist,4787,2,0-2 years,Yes,Yes,1
42,Male,Research & Development,Manager,18880,22,10+ years,No,No,0
56,Male,Research & Development,Laboratory Technician,2339,10,6-10 years,No,Yes,1
41,Female,Research & Development,Manufacturing Director,13570,20,10+ years,No,No,0
34,Female,Sales,Sales Executive,6712,8,6-10 years,No,No,0
36,Male,Sales,Sales Executive,5406,15,10+ years,No,No,0
41,Male,Sales,Sales Executive,8938,5,3-5 years,No,No,0
32,Male,Research & Development,Research Scientist,2439,4,3-5 years,No,No,0
35,Female,Human Resources,Human Resources,8837,9,6-10 years,Yes,No,0
38,Female,Sales,Sales Executive,5343,10,6-10 years,No,No,0
50,Male,Sales,Sales Executive,6728,6,6-10 years,No,Yes,1
36,Female,Sales,Sales Executive,6652,6,6-10 years,No,No,0
45,Female,Sales,Sales Executive,4850,5,3-5 years,No,No,0
40,Male,Research & Development,Research Scientist,2809,2,0-2 years,No,No,0
35,Male,Research & Development,Healthcare Representative,5689,10,6-10 years,Yes,No,0
40,Female,Research & Development,Research Scientist,2001,5,3-5 years,No,No,0
35,Female,Research & Development,Research Scientist,2977,4,3-5 years,No,No,0
29,Male,Research & Development,Laboratory Technician,4025,4,3-5 years,Yes,No,0
29,Female,Research & Development,Research Scientist,3785,5,3-5 years,No,No,0
50,Male,Sales,Sales Executive,10854,3,3-5 years,Yes,Yes,1
39,Female,Sales,Sales Executive,12031,20,10+ years,No,No,0
31,Male,Research & Development,Manufacturing Director,9936,9,6-10 years,No,No,0
26,Female,Sales,Sales Representative,2966,4,3-5 years,No,No,0
36,Male,Research & Development,Laboratory Technician,2571,5,3-5 years,No,No,0
39,Male,Research & Development,Healthcare Representative,9991,7,6-10 years,No,No,0
27,Male,Research & Development,Manufacturing Director,6142,6,6-10 years,Yes,No,0
49,Male,Sales,Sales Executive,5390,9,6-10 years,No,No,0
34,Male,Research & Development,Laboratory Technician,4404,4,3-5 years,No,No,0
